pais,populacao,year
Portugal,10281762,2018
Post-demographic dividend,1109997273,2018
Pre-demographic dividend,919485393,2018
Puerto Rico,3195153,2018
Qatar,2781677,2018
Romania,19473936,2018
Russian Federation,144478050,2018
Rwanda,12301939,2018
Samoa,196130,2018
San Marino,33785,2018
Sao Tome and Principe,211028,2018
Saudi Arabia,33699947,2018
Senegal,15854360,2018
Serbia,6982084,2018
Seychelles,96762,2018
Sierra Leone,7650154,2018
Singapore,5638676,2018
Sint Maarten (Dutch part),40654,2018
Slovak Republic,5447011,2018
Slovenia,2067372,2018
Small states,40575321,2018
Solomon Islands,652858,2018
Somalia,15008154,2018
South Africa,57779622,2018
South Asia,1814388744,2018
South Asia (IDA & IBRD),1814388744,2018
South Sudan,10975920,2018
Spain,46723749,2018
Sri Lanka,21670000,2018
St. Kitts and Nevis,52441,2018
St. Lucia,181889,2018
St. Martin (French part),37264,2018
St. Vincent and the Grenadines,110210,2018
Sub-Saharan Africa,1078306520,2018
Sub-Saharan Africa (IDA & IBRD countries),1078306520,2018
Sub-Saharan Africa (excluding high income),1078209758,2018
Sudan,41801533,2018
Suriname,575991,2018
Sweden,10183175,2018
Switzerland,8516543,2018
Syrian Arab Republic,16906283,2018
Tajikistan,9100837,2018
Tanzania,56318348,2018
Thailand,69428524,2018
Timor-Leste,1267972,2018
Togo,7889094,2018
Tonga,103197,2018
Trinidad and Tobago,1389858,2018
Tunisia,11565204,2018
Turkey,82319724,2018
Turkmenistan,5850908,2018
Turks and Caicos Islands,37665,2018
Tuvalu,11508,2018
Uganda,42723139,2018
Ukraine,44622516,2018
United Arab Emirates,9630959,2018
United Kingdom,66488991,2018
United States,327167434,2018
Upper middle income,2655635719,2018
Uruguay,3449299,2018
Uzbekistan,32955400,2018
Vanuatu,292680,2018
"Venezuela, RB",28870195,2018
Vietnam,95540395,2018
Virgin Islands (U.S.),106977,2018
West Bank and Gaza,4569087,2018
World,7594270356,2018
"Yemen, Rep.",28498687,2018
Zambia,17351822,2018
Zimbabwe,14439018,2018
